SCHEME START,SCHEME END,PRODUCT,DAYS  OF DISCOUNT,DISCOUNT (%),PROD A,PROD B,PROD C,PROD D,PROD E,AHMEDABAD,AMBALA,BANGALORE,CHANDIGARH,CHENNAI,DEHRADUN,DELHI,GHAZIABAD,HYDERABAD,KANPUR,KOCHI,KOLKATA,MUMBAI,PARWANOO,ZIRAKHPUR
31-08-2004,08-10-2004,PROD B,38,3.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-08-2004,08-10-2004,PROD B,38,3.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-09-2004,19-11-2004,PROD B,69,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15-09-2004,30-09-2004,PROD A,15,4,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17-09-2004,31-10-2004,PROD B,44,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28-09-2004,31-10-2004,PROD C,33,4,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30-09-2004,09-10-2004,PROD C,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-09-2004,09-10-2004,PROD D,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-10-2004,25-12-2004,PROD A,74,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-10-2004,25-12-2004,PROD A,74,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15-10-2004,22-10-2004,PROD A,7,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
16-10-2004,31-10-2004,PROD B,15,3.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16-10-2004,31-10-2004,PROD B,15,3.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25-10-2004,25-12-2004,PROD A,61,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-10-2004,25-12-2004,PROD A,61,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17-11-2004,23-11-2004,PROD C,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-11-2004,30-11-2004,PROD D,13,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17-11-2004,31-12-2004,PROD B,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-11-2004,31-12-2004,PROD B,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
